d1,d2,d3,vezes,atual,ultima,maior,media
29,38,50,8,1027,94,692,224.5
24,25,42,8,588,673,673,279.4
9,41,49,8,388,89,629,304.4
29,32,38,8,254,596,596,321.1
10,32,49,8,224,256,1022,324.9
4,28,30,8,186,375,774,329.6
6,11,40,8,44,556,802,347.4
14,33,36,7,1250,124,957,224.9
21,30,52,7,1243,167,320,225.9
29,44,47,7,1199,478,681,232.1
2,18,30,7,1075,305,431,249.9
18,21,38,7,1047,89,692,253.9
4,30,59,7,828,516,611,285.1
23,39,49,7,674,433,471,307.1
41,44,54,7,619,99,428,315.0
40,50,55,7,549,432,621,325.0
26,35,39,7,542,210,1661,326.0
6,28,35,7,535,538,717,327.0
9,21,54,7,530,183,671,327.7
9,36,53,7,430,447,502,342.0
9,21,36,7,430,447,1039,342.0
11,27,46,7,413,370,536,344.4
17,38,53,7,406,776,776,345.4
1,41,58,7,384,334,656,348.6
43,52,56,7,366,147,740,351.1
13,41,42,7,341,407,896,354.7
10,33,42,7,338,206,645,355.1
9,23,30,7,282,1255,1255,363.1
6,10,33,7,281,849,849,363.3
37,44,56,7,269,67,2083,365.0
29,35,43,7,254,198,1064,367.1
26,35,38,7,251,419,1214,367.6
2,30,52,7,247,1123,1123,368.1
15,17,35,7,238,112,914,369.4
11,16,46,7,228,111,710,370.9
31,57,58,7,203,38,1074,374.4
8,28,32,7,190,5,1117,376.3
8,42,59,7,185,907,907,377.0
36,53,55,7,171,74,1531,379.0
11,53,60,7,171,229,1034,379.0
10,13,20,7,158,599,799,380.9
4,52,56,7,157,647,904,381.0
3,23,47,7,147,791,791,382.4
2,34,50,7,143,1396,1396,383.0
13,17,41,7,75,14,1604,392.7
8,11,39,7,70,431,757,393.4
8,39,43,7,65,588,704,394.1
16,35,49,7,61,152,709,394.7
1,33,56,7,58,30,985,395.1
25,28,45,7,48,431,974,396.6
27,35,59,7,46,49,772,396.9
32,40,42,7,40,851,851,397.7
27,36,37,7,19,287,1095,400.7
18,31,39,7,18,665,1083,400.9
11,46,50,7,11,125,718,401.9
2,50,54,7,5,645,714,402.7
11,13,27,7,3,129,604,403.0
15,16,57,6,1778,19,431,174.5
31,34,37,6,1694,348,348,188.5
2,15,57,6,1528,6,371,216.2
5,31,33,6,1215,344,384,268.3
3,9,32,6,1129,723,723,282.7
1,51,59,6,1126,194,372,283.2
9,17,32,6,1091,741,741,289.0
2,41,53,6,1082,31,708,290.5
6,19,34,6,1029,494,826,299.3
11,13,39,6,958,827,827,311.2
13,24,32,6,953,47,717,312.0
9,37,41,6,948,906,906,312.8
6,30,37,6,938,313,708,314.5
18,51,56,6,926,128,881,316.5
10,23,27,6,922,194,729,317.2
40,42,54,6,892,527,675,322.2
2,14,23,6,873,666,666,325.3
4,44,52,6,859,24,858,327.7
22,32,38,6,851,995,995,329.0
5,11,53,6,838,101,1229,331.2
6,17,50,6,837,100,846,331.3
12,32,40,6,836,647,647,331.5
10,42,54,6,789,52,975,339.3
8,9,41,6,770,524,524,342.5
24,34,60,6,759,1181,1181,344.3
6,13,51,6,734,254,1428,348.5
6,13,24,6,734,649,649,348.5
8,18,37,6,729,10,805,349.3
19,29,59,6,722,49,1089,350.5
19,29,41,6,722,847,847,350.5
43,46,53,6,718,25,754,351.2
7,12,24,6,704,458,757,353.5
23,41,58,6,691,416,702,355.7
29,49,50,6,678,299,933,357.8
18,20,24,6,667,220,883,359.7
2,35,50,6,651,634,1043,362.3
10,16,21,6,643,6,798,363.7
16,37,57,6,638,1446,1446,364.5
23,41,53,6,629,434,434,366.0
5,10,46,6,617,224,1041,368.0
1,19,33,6,615,33,412,368.3
23,52,58,6,606,11,1309,369.8
1,44,46,6,605,97,498,370.0
