d1,d2,d3,d4,vezes,atual,ultima,maior,media
4,18,21,38,4,1047,189,889,445.0
30,38,46,59,4,828,1088,1088,499.8
8,9,25,41,4,770,524,524,514.3
36,53,55,60,4,171,594,1531,664.0
23,30,49,55,3,2207,162,208,207.0
5,11,38,53,3,2170,354,354,219.3
33,40,41,59,3,1904,214,331,308.0
11,21,30,52,3,1732,86,322,365.3
6,19,22,43,3,1524,515,515,434.7
33,57,58,60,3,1357,224,555,490.3
2,14,28,50,3,1336,41,674,497.3
13,24,42,44,3,1299,802,802,509.7
7,15,20,23,3,1287,238,307,513.7
10,16,23,27,3,1117,617,617,570.3
5,8,42,59,3,1093,141,652,578.3
6,33,34,53,3,1083,600,600,581.7
2,13,41,53,3,1082,58,858,582.0
6,18,34,47,3,1048,1304,1304,593.3
1,3,4,53,3,1031,1473,1473,599.0
6,34,43,45,3,1029,494,494,599.7
27,28,48,55,3,999,386,386,609.7
10,28,51,59,3,902,401,745,642.0
22,42,58,59,3,822,333,1003,668.7
14,53,55,60,3,766,765,1077,687.3
19,29,41,59,3,722,1611,1611,702.0
11,16,24,46,3,702,22,710,708.7
2,24,35,50,3,651,684,684,725.7
2,21,51,60,3,642,428,834,728.7
23,30,38,44,3,631,837,837,732.3
13,41,49,53,3,629,452,917,733.0
11,27,53,60,3,593,1295,1295,745.0
10,27,41,52,3,559,1234,1234,756.3
11,16,35,50,3,444,991,1234,794.7
16,36,42,44,3,436,866,1295,797.3
4,11,25,55,3,392,2128,2128,812.0
8,34,38,47,3,391,206,1754,812.3
21,38,53,59,3,375,49,1723,817.7
10,13,41,42,3,341,1854,1854,829.0
12,19,41,45,3,315,742,849,837.7
22,23,53,60,3,312,240,510,838.7
24,25,38,41,3,278,431,799,850.0
19,37,44,56,3,269,133,2324,853.0
16,29,35,49,3,262,472,472,855.3
12,18,31,50,3,253,892,892,858.3
14,17,32,39,3,237,11,1175,863.7
19,24,50,60,3,208,1356,1356,873.3
27,28,32,48,3,196,802,802,877.3
35,36,37,59,3,179,1265,1265,883.0
14,36,55,60,3,119,646,1843,903.0
20,34,37,45,3,93,924,924,911.7
19,25,44,46,3,92,15,349,912.0
13,19,46,50,3,30,286,1247,932.7
43,54,55,56,2,2805,15,15,12.0
15,38,58,59,2,2778,40,40,25.5
3,20,21,38,2,2770,52,52,29.5
13,33,35,43,2,2732,48,48,48.5
11,28,32,40,2,2704,38,38,62.5
4,25,32,52,2,2696,22,22,66.5
1,13,21,52,2,2661,64,64,84.0
7,41,46,55,2,2660,29,29,84.5
1,3,5,23,2,2639,98,98,95.0
5,12,15,29,2,2633,44,44,98.0
40,43,46,54,2,2625,33,33,102.0
23,24,25,47,2,2622,156,156,103.5
8,41,53,56,2,2600,66,66,114.5
2,29,41,55,2,2595,113,113,117.0
10,50,52,57,2,2594,36,36,117.5
21,40,49,54,2,2581,171,171,124.0
4,21,22,56,2,2576,11,11,126.5
21,26,32,52,2,2574,46,46,127.5
12,50,54,60,2,2572,193,193,128.5
12,50,54,55,2,2572,107,107,128.5
6,21,33,47,2,2562,28,28,133.5
17,27,47,52,2,2557,205,205,136.0
5,16,20,30,2,2550,18,18,139.5
25,28,45,57,2,2536,220,220,146.5
25,28,41,57,2,2536,53,53,146.5
28,38,41,57,2,2530,59,59,149.5
13,17,41,44,2,2523,149,149,153.0
11,25,39,55,2,2521,0,0,154.0
4,25,39,55,2,2521,0,0,154.0
4,11,39,55,2,2521,0,0,154.0
4,11,25,39,2,2521,0,0,154.0
29,44,47,56,2,2508,35,35,160.5
18,29,44,47,2,2508,277,277,160.5
11,29,44,47,2,2508,118,118,160.5
23,24,26,51,2,2496,147,147,166.5
14,24,26,51,2,2496,147,147,166.5
14,23,26,51,2,2496,147,147,166.5
14,23,24,51,2,2496,147,147,166.5
14,23,24,26,2,2496,147,147,166.5
10,14,35,36,2,2486,171,171,171.5
2,14,23,37,2,2475,24,24,177.0
21,32,40,42,2,2472,167,167,178.5
12,17,40,42,2,2472,139,139,178.5
1,5,31,33,2,2457,108,108,186.0
3,27,45,46,2,2453,256,256,188.0
5,16,18,22,2,2445,93,93,192.0
6,12,35,50,2,2437,178,178,196.0
1,24,32,46,2,2433,350,350,198.0
