d1,d2,vezes,atual,ultima,maior,media
1,15,9,33,207,781,309.8
51,55,9,493,866,866,28.7
3,12,10,315,578,760,25.1
21,45,10,470,414,723,23.5
21,55,11,2,325,558,256.1
15,44,11,67,10,600,250.2
21,24,11,106,53,1101,246.6
8,16,11,110,258,634,246.3
3,26,11,325,191,609,20.6
23,40,11,695,265,885,17.6
22,45,12,9,284,688,234.1
48,56,12,29,130,820,232.4
3,55,12,34,6,1029,232.0
26,59,12,178,66,740,220.0
9,27,12,294,289,512,17.5
7,48,12,482,44,782,16.2
14,57,12,595,95,557,15.4
21,58,13,2,14,769,216.5
3,59,13,32,38,740,214.2
3,6,13,34,664,664,214.1
49,60,13,61,36,793,212.0
21,39,13,97,67,1025,209.2
15,46,13,156,233,643,204.7
13,23,13,178,179,416,203.0
20,23,13,285,279,289,194.8
36,57,13,285,25,978,194.8
15,56,13,302,353,491,14.9
39,40,13,308,132,631,14.8
13,48,13,429,178,560,14.1
39,42,14,18,70,827,199.9
21,47,14,63,241,700,196.6
33,47,14,95,9,515,194.4
9,26,14,117,214,567,192.8
12,23,14,121,0,630,192.5
21,41,14,160,329,1061,189.7
26,56,14,181,51,615,188.2
6,9,14,209,140,404,186.2
20,25,14,288,207,791,180.6
8,20,14,311,182,416,12.8
2,40,14,396,134,499,12.3
3,30,14,513,390,390,11.8
14,27,14,549,1,505,11.6
15,26,14,579,466,507,11.4
6,54,15,4,471,498,187.4
1,60,15,31,66,391,185.6
31,40,15,31,136,733,186.6
9,59,15,32,4,737,185.5
26,44,15,55,195,605,184.0
19,38,15,57,245,470,183.9
21,44,15,60,36,560,183.7
19,36,15,72,7,540,182.9
18,46,15,74,155,560,182.7
12,58,15,99,587,604,181.1
32,39,15,103,133,718,180.8
4,22,15,154,31,550,177.4
22,39,15,165,147,404,176.7
22,26,15,200,87,527,173.3
14,16,15,209,18,611,173.7
6,21,15,210,323,660,173.7
29,33,15,254,266,422,170.7
26,47,15,260,44,522,170.3
31,48,15,293,149,406,11.2
25,40,15,308,202,565,11.1
1,22,15,313,22,474,11.1
16,40,15,441,5,731,10.6
2,26,15,451,90,523,10.5
19,32,16,10,40,595,175.3
12,15,16,12,153,530,175.1
27,31,16,18,572,572,174.8
2,39,16,21,330,792,174.6
24,31,16,26,266,834,174.3
31,60,16,26,4,525,174.3
13,55,16,35,98,768,173.7
18,19,16,41,90,475,173.3
18,28,16,62,121,583,172.0
26,55,16,77,158,576,171.1
45,47,16,91,197,532,170.2
20,39,16,97,187,623,169.8
2,9,16,102,285,1024,169.5
25,35,16,117,393,479,168.6
22,23,16,121,93,900,168.3
4,55,16,134,257,412,167.5
13,15,16,139,137,445,167.2
41,43,16,144,32,407,166.9
18,26,16,151,48,421,166.4
3,39,16,165,236,536,165.6
2,31,16,187,318,575,164.2
31,59,16,187,362,411,164.2
26,50,16,199,60,708,163.4
40,53,16,202,396,736,163.3
55,57,16,220,304,561,162.1
5,55,16,246,52,800,160.5
12,55,16,246,41,658,160.5
19,21,16,248,68,555,160.4
8,26,16,260,138,328,159.6
12,51,16,268,418,418,159.1
22,55,16,288,196,735,9.9
8,57,16,311,8,615,9.8
19,59,16,331,316,470,9.7
18,40,16,382,206,824,9.5
