P1,P2,frequencia,atual,ultimo,maior,media
10,33,40,22,63,212,69.2
38,53,40,15,270,270,69.4
23,53,39,121,98,189,68.5
36,53,38,171,1,315,69.0
5,27,38,114,83,227,70.5
6,34,38,112,0,262,70.5
41,58,38,75,60,327,71.5
5,33,38,24,70,494,72.8
5,11,38,24,60,251,72.8
41,53,37,58,42,280,73.9
9,41,36,259,128,324,70.4
23,30,36,175,63,212,72.8
46,54,36,142,18,290,73.7
4,52,36,79,68,291,75.4
10,34,36,43,20,391,76.4
46,53,36,8,41,337,77.4
5,10,35,198,44,391,74.2
2,35,35,125,6,276,76.3
10,28,35,122,67,379,76.4
16,20,35,93,47,254,77.2
1,48,35,68,61,218,77.9
36,44,35,64,43,410,78.0
32,33,35,62,42,286,78.1
6,28,35,48,58,273,78.5
10,25,35,12,73,319,79.5
11,46,35,11,12,301,79.5
16,34,35,6,31,324,79.7
38,50,35,5,9,347,79.7
27,59,35,3,41,382,79.8
12,37,34,293,151,233,73.6
5,24,34,278,37,271,74.1
4,38,34,230,185,377,75.5
18,30,34,184,113,223,76.8
57,58,34,159,14,282,77.6
4,29,34,148,5,254,77.9
10,56,34,76,81,277,80.0
13,41,34,75,14,332,80.0
12,32,34,62,36,257,80.4
10,53,34,50,98,567,80.8
30,35,34,46,122,325,80.9
23,47,34,42,78,487,81.0
42,49,34,40,342,342,81.1
11,37,34,39,48,334,81.1
18,31,34,18,110,370,81.7
26,54,34,16,89,345,81.8
17,48,34,14,53,271,81.8
43,54,34,6,40,259,82.1
10,54,34,4,147,312,82.1
11,27,34,3,129,226,82.1
41,42,33,326,14,295,74.9
8,53,33,314,50,363,75.2
25,41,33,278,62,265,76.3
29,38,33,254,7,314,77.1
1,5,33,246,52,414,77.3
5,23,33,215,27,263,78.2
13,29,33,178,43,369,79.4
23,51,33,176,392,392,79.4
45,56,33,138,18,533,80.6
22,29,33,136,17,403,80.6
53,55,33,104,66,268,81.6
33,42,33,89,236,302,82.1
13,53,33,79,7,360,82.4
13,17,33,75,14,354,82.5
16,38,33,56,137,320,83.1
4,44,33,55,22,355,83.1
17,52,33,54,61,240,83.1
44,54,33,51,140,293,83.2
10,23,33,43,78,428,83.5
8,23,33,43,66,405,83.5
32,40,33,40,94,426,83.5
37,43,33,39,266,318,83.6
25,43,33,39,41,333,83.6
2,11,33,39,45,376,83.6
9,54,33,32,90,273,83.8
27,46,33,29,132,273,83.9
28,32,33,28,33,433,83.9
24,33,33,22,3,340,84.1
31,42,33,18,47,400,84.2
32,38,33,17,39,346,84.2
20,53,33,15,85,277,84.3
20,40,33,14,29,354,84.3
46,60,33,13,47,276,84.4
10,47,33,12,92,339,84.4
6,19,33,10,96,341,84.5
43,57,33,6,20,286,84.6
16,57,33,6,109,488,84.6
2,50,33,5,137,411,84.6
1,13,33,3,26,320,84.7
51,52,33,0,53,259,84.8
28,51,33,0,237,250,84.8
8,30,32,335,23,283,77.0
27,40,32,329,158,240,77.2
18,56,32,299,289,289,78.1
29,36,32,250,108,341,79.6
32,35,32,201,19,251,81.2
29,43,32,164,85,341,82.3
4,56,32,157,144,256,82.5
4,27,32,157,32,410,82.5
14,29,32,154,261,382,82.6
30,52,32,148,17,220,82.8
